t_values,blh_ref
1533168120.0,358.77862127057097
1533168419.9999998,347.5951310319604
1533168720.0000002,336.72078996469554
1533169020.0,327.0778225413436
1533169320.0,319.5884531492731
1533169619.9999998,315.23596743539514
1533169920.0,316.28085698222003
1533170220.0,326.1939102829833
1533170520.0,348.4935830822105
1533170820.0,385.100787690722
1533171119.9999998,420.3088187068216
1533171420.0000002,430.36331901426985
1533171720.0,415.58271351262835
1533172020.0,388.3782964462708
1533172319.9999998,361.22425187214606
1533172620.0,343.1711261757849
1533172920.0,336.4707626416616
1533173220.0,342.5723178752716
1533173520.0,358.70497910357176
1533173819.9999998,367.241403976519
1533174120.0000002,356.81934788201784
1533174420.0,342.610073047433
1533174720.0,341.29980780905805
1533175019.9999998,352.12545888751623
1533175320.0,368.15191792229336
1533175620.0,383.48050020462574
1533175920.0,396.34508406914296
1533176220.0,406.0023743896395
1533176519.9999998,411.709076037141
1533176820.0000002,412.72189389249013
1533177120.0,408.3054393042643
1533177420.0,398.73896676047264
1533177719.9999998,386.3042878195022
1533178020.0,373.51782040955254
1533178320.0,362.8176844411038
1533178620.0,353.68070810135583
1533178920.0,341.7839813966925
1533179219.9999998,322.9418170413958
1533179520.0000002,300.8920941939551
1533179820.0,286.79428740601145
1533180120.0,292.09382488872984
1533180419.9999998,321.3781390874103
1533180720.0,352.2613768752227
1533181020.0,363.40165586332046
1533181320.0,357.23360905414825
1533181620.0,340.59282120081855
1533181919.9999998,319.8515369510209
1533182220.0000002,301.3121824320408
1533182520.0,291.27718391858207
1533182820.0,295.9128501821432
1533183119.9999998,314.88631793983853
1533183420.0,338.64830318191696
1533183720.0,356.94908194381117
1533184020.0,361.1580701887036
1533184320.0,352.9488645442924
1533184619.9999998,338.0397748819323
1533184920.0000002,322.59104800503786
1533185220.0,313.4362243865681
1533185520.0,313.47129764755994
1533185819.9999998,319.9165472307649
1533186120.0,329.56271982055404
1533186420.0,339.2005620603827
1533186720.0,345.5065619824942
1533187020.0,344.5171217456266
1533187319.9999998,333.6354756739372
1533187620.0000002,317.24758709837107
1533187920.0,301.6563404913809
1533188220.0,293.16467337172344
1533188519.9999998,296.538026514856
1533188820.0,305.5143294431792
1533189120.0,309.5217569475374
1533189420.0,306.5040195630008
1533189720.0,301.51999490413897
1533190019.9999998,299.3962342774998
1533190320.0000002,300.15114756340006
1533190620.0,300.88976708079116
1533190920.0,298.81405832692366
1533191219.9999998,294.4380259346302
1533191520.0,291.6549355777988
1533191820.0,292.63133097318155
1533192120.0,295.8889890453591
1533192420.0,299.5320931800093
1533192719.9999998,301.7079461631588
1533193020.0000002,300.9634779476414
1533193320.0,296.0621728743754
1533193620.0,286.07833946971334
1533193919.9999998,276.2292627293613
1533194220.0,277.2533950271424
1533194520.0,289.115212118435
1533194820.0,294.4737916578057
1533195120.0,292.3035953895043
1533195419.9999998,291.63716235933543
1533195720.0000002,294.31058146727787
1533196020.0,298.6053431380204
1533196320.0,302.78495007670966
1533196619.9999998,305.72498099371603
1533196920.0,307.488425653273
1533197220.0,308.3776810093287
1533197520.0,308.7655815759298
1533197820.0,309.0262518601506
1533198119.9999998,309.53381636846467
1533198420.0000002,310.66239961099114
1533198720.0,312.7861260892744
1533199020.0,316.27912031471726
1533199319.9999998,321.51550760550566
1533199620.0,329.14974650168773
1533199920.0,340.9099310697302
1533200220.0,357.99101234365344
1533200520.0,375.44526595058477
1533200819.9999998,389.8360458875686
1533201120.0000002,402.325015516347
1533201420.0,414.2793699599725
1533201720.0,427.0663036670333
1533202019.9999998,441.8398479689656
1533202320.0,458.9403742833395
