t_values,blh_ref
1519430400.0,182.58157389623477
1519430700.0000002,186.75306132319872
1519431000.0,190.92454874353228
1519431300.0,195.09603616718107
1519431599.9999998,199.26752358751463
1519431900.0000002,203.4390110177938
1519432200.0,207.61049843812737
1519432500.0,211.78198586177612
1519432799.9999998,215.95347328210968
1519433100.0,216.9512754858463
1519433400.0000002,216.31648392085995
1519433700.0,215.6816923568825
1519434000.0,215.0469007924006
1519434299.9999998,214.41210922842316
1519434600.0000002,213.7773176629323
1519434900.0,213.14252609895487
1519435200.0,212.50773453447295
1519435499.9999998,211.87294297049556
1519435800.0,211.23815140550914
1519436100.0000002,210.60335984052273
1519436400.0,209.96856827654528
1519436700.0,209.3337767120634
1519436999.9999998,209.300676617937
1519437300.0000002,210.05912887799457
1519437600.0,210.81758113624386
1519437900.0,211.5760333950959
1519438199.9999998,212.33448565334515
1519438500.0,213.09293791279993
1519438800.0000002,213.85139017225475
1519439100.0,214.60984243050402
1519439400.0,215.36829468935605
1519439699.9999998,216.12674694760534
1519440000.0000002,216.8851992076629
1519440300.0,217.64365146591217
1519440600.0,218.4021037247642
1519440899.9999998,219.1605559830135
1519441200.0,219.9190082424683
1519441500.0000002,220.67746050192306
1519441800.0,221.43591276017236
1519442100.0,222.1943650190244
1519442399.9999998,222.95281727727365
1519442700.0000002,223.7112695373312
1519443000.0,224.46972179558048
1519443300.0,225.22817405443251
1519443599.9999998,225.96838697984796
1519443900.0,226.6636348843648
1519444200.0000002,227.3588827888817
1519444500.0,228.05413069229348
1519444800.0,228.74937859625783
1519445099.9999998,229.44462649966965
1519445400.0000002,230.13987440473903
1519445700.0,230.83512230815086
1519446000.0,231.53037021211517
1519446299.9999998,232.22561811552697
1519446600.0,232.92086602004383
1519446900.0000002,233.6161139245607
1519447200.0,235.3939422338858
1519447500.0,241.23402462641764
1519447799.9999998,247.07410701430823
1519448100.0000002,252.91418941612264
1519448400.0,258.75427180401323
1519448700.0,255.32827618931037
1519448999.9999998,250.83590512074727
1519449300.0,246.34353404504373
1519449600.0000002,239.32634237490913
1519449900.0,218.88605401729214
1519450200.0,198.4457656434306
1519450499.9999998,184.19374092877803
1519450800.0000002,185.65376152943338
1519451100.0,187.11378212660776
1519451400.0,188.57380272494245
